frame,landmark,x,y,z,label
1,0,0.2212960124015808,0.9770128726959229,-2.2061979620957572e-07,A
1,1,0.2429760992527008,0.9712674617767334,-0.016958482563495636,A
1,2,0.26807084679603577,0.9731045961380005,-0.03064791113138199,A
1,3,0.2826765477657318,0.9654018878936768,-0.042626138776540756,A
1,4,0.29034146666526794,0.9636843204498291,-0.0539415180683136,A
1,5,0.2637821137905121,1.0069115161895752,-0.0327417366206646,A
1,6,0.26889222860336304,0.9859526753425598,-0.053962595760822296,A
1,7,0.26273444294929504,0.9578473567962646,-0.0679570734500885,A
1,8,0.2553527355194092,0.9377046823501587,-0.07540464401245117,A
1,9,0.23794063925743103,1.0168529748916626,-0.0323164202272892,A
1,10,0.23657187819480896,0.9901729226112366,-0.050258588045835495,A
1,11,0.23199309408664703,0.9654354453086853,-0.0573294423520565,A
1,12,0.2282290905714035,0.9519045352935791,-0.061257123947143555,A
1,13,0.2139941304922104,1.0185558795928955,-0.03297748044133186,A
1,14,0.21078599989414215,0.9914202094078064,-0.04797018691897392,A
1,15,0.20678606629371643,0.9725683927536011,-0.04814745485782623,A
1,16,0.20452789962291718,0.965121865272522,-0.047229550778865814,A
1,17,0.19406089186668396,1.0161470174789429,-0.03520643711090088,A
1,18,0.18825453519821167,0.9900099039077759,-0.04564610496163368,A
1,19,0.1856522113084793,0.9759199619293213,-0.04505327343940735,A
1,20,0.1836688369512558,0.971735417842865,-0.04346529021859169,A
2,0,0.2921753227710724,0.7913463711738586,-1.7299329613251757e-07,A
2,1,0.32927292585372925,0.7810534238815308,-0.012060639448463917,A
2,2,0.36495503783226013,0.7461522817611694,-0.015579959377646446,A
2,3,0.3809525966644287,0.7064477801322937,-0.01896643452346325,A
2,4,0.38273829221725464,0.6680294275283813,-0.0210307277739048,A
2,5,0.3497883379459381,0.6937893033027649,-0.004907754249870777,A
2,6,0.3643852174282074,0.6784403920173645,-0.020357754081487656,A
2,7,0.352740615606308,0.7114236950874329,-0.028649456799030304,A
2,8,0.34138616919517517,0.7387163639068604,-0.03044641949236393,A
2,9,0.32843396067619324,0.6838321685791016,-0.0034114269074052572,A
2,10,0.3440331518650055,0.6743324995040894,-0.01985306665301323,A
2,11,0.33208417892456055,0.7155700325965881,-0.023232264444231987,A
2,12,0.3226889967918396,0.7463482618331909,-0.020539628341794014,A
2,13,0.30527281761169434,0.6793805956840515,-0.0046606604009866714,A
2,14,0.31975433230400085,0.6759469509124756,-0.02184150367975235,A
2,15,0.3134421408176422,0.7176595330238342,-0.019401228055357933,A
2,16,0.307914674282074,0.7479017972946167,-0.012072118930518627,A
2,17,0.2801341414451599,0.6792530417442322,-0.006745974998921156,A
2,18,0.298379510641098,0.6755626797676086,-0.018291911110281944,A
2,19,0.2997936010360718,0.7073095440864563,-0.015328907407820225,A
2,20,0.2979639768600464,0.7302384972572327,-0.009026468731462955,A
3,0,0.3213948607444763,0.8076902031898499,-1.7693662357487483e-07,A
3,1,0.35708820819854736,0.7979901432991028,-0.011713394895195961,A
3,2,0.3915714621543884,0.7637115716934204,-0.015041990205645561,A
3,3,0.40482059121131897,0.7236523032188416,-0.01843268796801567,A
3,4,0.4049745798110962,0.6882609724998474,-0.020760972052812576,A
3,5,0.372758686542511,0.7093492746353149,-0.002867449540644884,A
3,6,0.38740015029907227,0.6971995234489441,-0.018285157158970833,A
3,7,0.3762659430503845,0.731566846370697,-0.02728629857301712,A
3,8,0.36556318402290344,0.7586689591407776,-0.029514186084270477,A
3,9,0.35099858045578003,0.7025302052497864,-0.0012219108175486326,A
3,10,0.3650912046432495,0.6941978931427002,-0.016918234527111053,A
3,11,0.35458898544311523,0.7348058819770813,-0.020988600328564644,A
3,12,0.34674105048179626,0.7644939422607422,-0.019109804183244705,A
3,13,0.3279294967651367,0.7011865377426147,-0.0024018005933612585,A
3,14,0.3406352698802948,0.6958096027374268,-0.018849622458219528,A
3,15,0.33662107586860657,0.7350360155105591,-0.017255421727895737,A
3,16,0.3328930139541626,0.7652265429496765,-0.010854054242372513,A
3,17,0.30283987522125244,0.7038697600364685,-0.004341952968388796,A
3,18,0.31891319155693054,0.6972480416297913,-0.015319522470235825,A
3,19,0.32211965322494507,0.727027952671051,-0.012763907201588154,A
3,20,0.3215155601501465,0.7511105537414551,-0.006915438920259476,A
4,0,0.35405758023262024,0.8064089417457581,-1.5358551763711148e-07,A
4,1,0.38921475410461426,0.7978441715240479,-0.011762367561459541,A
4,2,0.42310869693756104,0.7661117911338806,-0.015123474411666393,A
4,3,0.4387492835521698,0.7303430438041687,-0.018587585538625717,A
